,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
203,2011Q3, Kjosarhreppur,210,110,100,.,200,5
204,2011Q3,Other regions,114330,58340,55990,.,107620,6710
205,2011Q3, Reykjanesbaer,13840,7000,6850,.,12650,1190
206,2011Q3, Grindavikurbaer,2780,1420,1350,.,2580,190
207,2011Q3, Sveitarfelagid Vogar,1120,580,530,.,1040,80
208,2011Q3, Sudurnesjabaer,3110,1620,1490,.,2760,350
209,2011Q3, Akraneskaupstadur,6520,3330,3200,.,6160,370
210,2011Q3, Skorradalshreppur,60,35,25,.,60,.
211,2011Q3, Hvalfjardarsveit,610,330,280,.,580,30
212,2011Q3, Borgarbyggd,3450,1770,1680,.,3300,140
213,2011Q3, Grundarfjardarbaer,880,440,440,.,780,100
214,2011Q3, Eyja- og Miklaholtshreppur,130,70,70,.,110,25
215,2011Q3, Snaefellsbaer,1700,880,820,.,1480,220
216,2011Q3, Sveitarfelagid Stykkisholmur,1150,600,550,.,1080,70
217,2011Q3, Dalabyggd,680,360,320,.,650,25
218,2011Q3, Bolungarvikurkaupstadur,870,450,420,.,780,90
219,2011Q3, Isafjardarbaer,3690,1850,1840,.,3380,310
220,2011Q3, Reykholahreppur,260,130,140,.,260,5
221,2011Q3, Vesturbyggd,1150,600,550,.,1020,130
222,2011Q3, Sudavikurhreppur,180,100,90,.,170,15
223,2011Q3, Arneshreppur,50,25,25,.,50,0
224,2011Q3, Kaldrananeshreppur,100,45,60,.,100,0
225,2011Q3, Strandabyggd,510,280,240,.,510,5
226,2011Q3, Hunathing vestra,1170,570,600,.,1130,45
227,2011Q3, Sveitarfelagid Skagastrond,500,250,250,.,500,10
228,2011Q3, Hunabyggd,1360,720,640,.,1260,90
229,2011Q3, Skagafjordur,4170,2110,2060,.,4050,120
230,2011Q3, Akureyrarbaer,17650,8700,8950,.,17230,420
231,2011Q3, Nordurthing,2870,1440,1430,.,2720,150
232,2011Q3, Fjallabyggd,2030,1030,1000,.,1970,50
233,2011Q3, Dalvikurbyggd,1890,990,900,.,1730,160
234,2011Q3, Eyjafjardarsveit,1020,520,500,.,1000,20
235,2011Q3, Horgarsveit,570,300,280,.,560,15
236,2011Q3, Svalbardsstrandarhreppur,390,200,190,.,360,30
237,2011Q3, Grytubakkahreppur,330,170,160,.,320,15
238,2011Q3, Tjorneshreppur,60,30,25,.,60,.
239,2011Q3, Thingeyjarsveit,1290,670,620,.,1260,35
240,2011Q3, Langanesbyggd,620,330,290,.,560,60
241,2011Q3, Fjardabyggd,4740,2540,2200,.,4300,440
242,2011Q3, Mulathing,4630,2400,2230,.,4380,250
243,2011Q3, Vopnafjardarhreppur,670,350,320,.,650,20
244,2011Q3, Fljotsdalshreppur,80,50,30,.,80,.
245,2011Q3, Vestmannaeyjabaer,4120,2160,1970,.,3990,140
246,2011Q3, Sveitarfelagid Arborg,7700,3920,3780,.,7400,300
247,2011Q3, Sveitarfelagid Hornafjordur,2120,1120,1000,.,2010,110
248,2011Q3, Myrdalshreppur,460,240,220,.,430,25
249,2011Q3, Skaftarhreppur,430,230,210,.,420,10
250,2011Q3, Asahreppur,190,90,100,.,170,15
251,2011Q3, Rangarthing eystra,1710,890,820,.,1550,160
252,2011Q3, Rangarthing ytra,1470,730,740,.,1360,110
253,2011Q3, Hrunamannahreppur,770,400,370,.,670,100
254,2011Q3, Hveragerdisbaer,2220,1130,1100,.,2150,80
255,2011Q3, Sveitarfelagid Olfus,1890,990,900,.,1650,240
256,2011Q3, Grimsnes- og Grafningshreppur,420,230,190,.,390,30
257,2011Q3, Skeida- og Gnupverjahreppur,500,260,250,.,480,25
258,2011Q3, Blaskogabyggd,880,430,450,.,790,90
259,2011Q3, Floahreppur,600,320,290,.,580,25
260,2011Q4,Total,313210,156550,156670,.,294250,18960
